"t","stimulus","x","y","t.stim","subid"
145.491,"140121-ey-simpleImp-list1.017",410,584,0.708333333333333,"EY-test.txt"
145.499,"140121-ey-simpleImp-list1.017",419,576,0.716666666666667,"EY-test.txt"
145.507,"140121-ey-simpleImp-list1.017",420,570,0.725,"EY-test.txt"
145.516,"140121-ey-simpleImp-list1.017",415,571,0.733333333333333,"EY-test.txt"
145.524,"140121-ey-simpleImp-list1.017",422,565,0.741666666666667,"EY-test.txt"
145.532,"140121-ey-simpleImp-list1.017",423,566,0.75,"EY-test.txt"
145.541,"140121-ey-simpleImp-list1.017",425,564,0.758333333333333,"EY-test.txt"
145.549,"140121-ey-simpleImp-list1.017",424,559,0.766666666666667,"EY-test.txt"
145.557,"140121-ey-simpleImp-list1.017",429,558,0.775,"EY-test.txt"
145.566,"140121-ey-simpleImp-list1.017",423,559,0.783333333333333,"EY-test.txt"
145.574,"140121-ey-simpleImp-list1.017",429,558,0.791666666666667,"EY-test.txt"
145.582,"140121-ey-simpleImp-list1.017",418,559,0.8,"EY-test.txt"
145.591,"140121-ey-simpleImp-list1.017",425,559,0.808333333333333,"EY-test.txt"
145.599,"140121-ey-simpleImp-list1.017",431,563,0.816666666666667,"EY-test.txt"
145.607,"140121-ey-simpleImp-list1.017",433,588,0.825,"EY-test.txt"
145.616,"140121-ey-simpleImp-list1.017",433,584,0.833333333333333,"EY-test.txt"
145.624,"140121-ey-simpleImp-list1.017",434,571,0.841666666666667,"EY-test.txt"
145.632,"140121-ey-simpleImp-list1.017",434,594,0.85,"EY-test.txt"
145.641,"140121-ey-simpleImp-list1.017",434,591,0.858333333333333,"EY-test.txt"
145.649,"140121-ey-simpleImp-list1.017",435,596,0.866666666666667,"EY-test.txt"
145.657,"140121-ey-simpleImp-list1.017",438,587,0.875,"EY-test.txt"
145.666,"140121-ey-simpleImp-list1.017",439,584,0.883333333333333,"EY-test.txt"
145.674,"140121-ey-simpleImp-list1.017",440,585,0.891666666666667,"EY-test.txt"
145.683,"140121-ey-simpleImp-list1.017",442,581,0.9,"EY-test.txt"
145.691,"140121-ey-simpleImp-list1.017",443,578,0.908333333333333,"EY-test.txt"
145.699,"140121-ey-simpleImp-list1.017",445,579,0.916666666666667,"EY-test.txt"
145.708,"140121-ey-simpleImp-list1.017",443,575,0.925,"EY-test.txt"
145.716,"140121-ey-simpleImp-list1.017",443,575,0.933333333333333,"EY-test.txt"
145.724,"140121-ey-simpleImp-list1.017",443,574,0.941666666666667,"EY-test.txt"
145.733,"140121-ey-simpleImp-list1.017",443,575,0.95,"EY-test.txt"
145.741,"140121-ey-simpleImp-list1.017",446,575,0.958333333333333,"EY-test.txt"
145.749,"140121-ey-simpleImp-list1.017",445,578,0.966666666666667,"EY-test.txt"
145.758,"140121-ey-simpleImp-list1.017",438,575,0.975,"EY-test.txt"
145.766,"140121-ey-simpleImp-list1.017",433,579,0.983333333333333,"EY-test.txt"
145.774,"140121-ey-simpleImp-list1.017",434,577,0.991666666666667,"EY-test.txt"
145.783,"140121-ey-simpleImp-list1.017",436,573,1,"EY-test.txt"
145.791,"140121-ey-simpleImp-list1.017",434,577,1.00833333333333,"EY-test.txt"
145.799,"140121-ey-simpleImp-list1.017",432,578,1.01666666666667,"EY-test.txt"
145.808,"140121-ey-simpleImp-list1.017",429,579,1.025,"EY-test.txt"
145.816,"140121-ey-simpleImp-list1.017",427,577,1.03333333333333,"EY-test.txt"
145.824,"140121-ey-simpleImp-list1.017",425,575,1.04166666666667,"EY-test.txt"
145.833,"140121-ey-simpleImp-list1.017",422,575,1.05,"EY-test.txt"
145.841,"140121-ey-simpleImp-list1.017",421,571,1.05833333333333,"EY-test.txt"
145.849,"140121-ey-simpleImp-list1.017",426,552,1.06666666666667,"EY-test.txt"
145.858,"140121-ey-simpleImp-list1.017",426,546,1.075,"EY-test.txt"
145.866,"140121-ey-simpleImp-list1.017",423,556,1.08333333333333,"EY-test.txt"
145.874,"140121-ey-simpleImp-list1.017",423,542,1.09166666666667,"EY-test.txt"
145.883,"140121-ey-simpleImp-list1.017",420,540,1.1,"EY-test.txt"
145.891,"140121-ey-simpleImp-list1.017",418,547,1.10833333333333,"EY-test.txt"
145.899,"140121-ey-simpleImp-list1.017",417,536,1.11666666666667,"EY-test.txt"
145.908,"140121-ey-simpleImp-list1.017",418,533,1.125,"EY-test.txt"
145.916,"140121-ey-simpleImp-list1.017",421,533,1.13333333333333,"EY-test.txt"
145.924,"140121-ey-simpleImp-list1.017",422,530,1.14166666666667,"EY-test.txt"
145.933,"140121-ey-simpleImp-list1.017",420,528,1.15,"EY-test.txt"
145.941,"140121-ey-simpleImp-list1.017",416,529,1.15833333333333,"EY-test.txt"
145.949,"140121-ey-simpleImp-list1.017",413,542,1.16666666666667,"EY-test.txt"
145.958,"140121-ey-simpleImp-list1.017",412,537,1.175,"EY-test.txt"
145.966,"140121-ey-simpleImp-list1.017",410,559,1.18333333333333,"EY-test.txt"
145.974,"140121-ey-simpleImp-list1.017",423,595,1.19166666666667,"EY-test.txt"
145.983,"140121-ey-simpleImp-list1.017",429,570,1.2,"EY-test.txt"
145.991,"140121-ey-simpleImp-list1.017",432,566,1.20833333333333,"EY-test.txt"
146,"140121-ey-simpleImp-list1.017",433,562,1.21666666666667,"EY-test.txt"
146.008,"140121-ey-simpleImp-list1.017",435,556,1.225,"EY-test.txt"
146.016,"140121-ey-simpleImp-list1.017",418,568,1.23333333333333,"EY-test.txt"
146.025,"140121-ey-simpleImp-list1.017",422,563,1.24166666666667,"EY-test.txt"
146.033,"140121-ey-simpleImp-list1.017",430,561,1.25,"EY-test.txt"
146.041,"140121-ey-simpleImp-list1.017",434,554,1.25833333333333,"EY-test.txt"
146.05,"140121-ey-simpleImp-list1.017",436,559,1.26666666666667,"EY-test.txt"
146.058,"140121-ey-simpleImp-list1.017",432,561,1.275,"EY-test.txt"
146.066,"140121-ey-simpleImp-list1.017",435,563,1.28333333333333,"EY-test.txt"
146.075,"140121-ey-simpleImp-list1.017",438,564,1.29166666666667,"EY-test.txt"
146.083,"140121-ey-simpleImp-list1.017",435,568,1.3,"EY-test.txt"
146.091,"140121-ey-simpleImp-list1.017",433,572,1.30833333333333,"EY-test.txt"
146.1,"140121-ey-simpleImp-list1.017",433,576,1.31666666666667,"EY-test.txt"
146.108,"140121-ey-simpleImp-list1.017",437,579,1.325,"EY-test.txt"
146.116,"140121-ey-simpleImp-list1.017",436,585,1.33333333333333,"EY-test.txt"
146.125,"140121-ey-simpleImp-list1.017",440,590,1.34166666666667,"EY-test.txt"
146.133,"140121-ey-simpleImp-list1.017",440,595,1.35,"EY-test.txt"
146.141,"140121-ey-simpleImp-list1.017",440,603,1.35833333333333,"EY-test.txt"
146.15,"140121-ey-simpleImp-list1.017",442,606,1.36666666666667,"EY-test.txt"
146.158,"140121-ey-simpleImp-list1.017",443,603,1.375,"EY-test.txt"
146.166,"140121-ey-simpleImp-list1.017",443,608,1.38333333333333,"EY-test.txt"
146.175,"140121-ey-simpleImp-list1.017",446,607,1.39166666666667,"EY-test.txt"
146.183,"140121-ey-simpleImp-list1.017",447,604,1.4,"EY-test.txt"
146.191,"140121-ey-simpleImp-list1.017",447,608,1.40833333333333,"EY-test.txt"
146.2,"140121-ey-simpleImp-list1.017",445,605,1.41666666666667,"EY-test.txt"
146.208,"140121-ey-simpleImp-list1.017",447,607,1.425,"EY-test.txt"
146.216,"140121-ey-simpleImp-list1.017",448,607,1.43333333333333,"EY-test.txt"
146.225,"140121-ey-simpleImp-list1.017",449,607,1.44166666666667,"EY-test.txt"
146.233,"140121-ey-simpleImp-list1.017",448,600,1.45,"EY-test.txt"
146.241,"140121-ey-simpleImp-list1.017",454,602,1.45833333333333,"EY-test.txt"
146.25,"140121-ey-simpleImp-list1.017",462,598,1.46666666666667,"EY-test.txt"
146.258,"140121-ey-simpleImp-list1.017",465,587,1.475,"EY-test.txt"
146.266,"140121-ey-simpleImp-list1.017",468,587,1.48333333333333,"EY-test.txt"
146.275,"140121-ey-simpleImp-list1.017",464,572,1.49166666666667,"EY-test.txt"
146.283,"blank",471,583,0,"EY-test.txt"
146.291,"blank",475,588,0.00833333333333333,"EY-test.txt"
146.3,"blank",476,591,0.0166666666666667,"EY-test.txt"
146.308,"blank",467,598,0.025,"EY-test.txt"
146.316,"blank",469,594,0.0333333333333333,"EY-test.txt"
146.325,"blank",467,597,0.0416666666666667,"EY-test.txt"
146.333,"blank",459,601,0.05,"EY-test.txt"
146.342,"blank",451,607,0.0583333333333333,"EY-test.txt"
146.35,"blank",448,614,0.0666666666666667,"EY-test.txt"
146.358,"blank",452,619,0.075,"EY-test.txt"
146.367,"blank",445,618,0.0833333333333333,"EY-test.txt"
146.375,"blank",448,617,0.0916666666666667,"EY-test.txt"
146.383,"blank",446,620,0.1,"EY-test.txt"
146.392,"blank",444,621,0.108333333333333,"EY-test.txt"
146.4,"blank",447,620,0.116666666666667,"EY-test.txt"
146.408,"blank",444,623,0.125,"EY-test.txt"
146.417,"blank",444,611,0.133333333333333,"EY-test.txt"
146.425,"blank",555,609,0.141666666666667,"EY-test.txt"
146.433,"blank",779,582,0.15,"EY-test.txt"
146.442,"blank",904,630,0.158333333333333,"EY-test.txt"
146.45,"blank",1027,701,0.166666666666667,"EY-test.txt"
146.458,"blank",1138,718,0.175,"EY-test.txt"
146.467,"blank",1190,706,0.183333333333333,"EY-test.txt"
146.492,"blank",1241,721,0.208333333333333,"EY-test.txt"
146.5,"blank",1249,734,0.216666666666667,"EY-test.txt"
146.508,"blank",1243,733,0.225,"EY-test.txt"
146.517,"blank",1250,738,0.233333333333333,"EY-test.txt"
146.525,"blank",1255,742,0.241666666666667,"EY-test.txt"
146.533,"blank",1264,740,0.25,"EY-test.txt"
146.542,"blank",1264,741,0.258333333333333,"EY-test.txt"
146.55,"blank",1267,748,0.266666666666667,"EY-test.txt"
146.558,"blank",1258,745,0.275,"EY-test.txt"
146.567,"blank",1260,749,0.283333333333333,"EY-test.txt"
