"subid","age_group","age","sex","english","site","trial_type","trial_num","item_num","correct","rt","expt"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",15,"1vs1",1,1734,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_double",16,"2vs1",2,4477,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","inference",17,"2vs1",2,2528,"ipad"
"150109-01-sc",2,2.08,"M",5,"cdm","control_single",18,"2vs2",2,12611,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",3,"2vs2",2,8829,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","inference",4,"2vs1",2,3775,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_double",5,"3vs1",2,8715,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",6,"2vs2",2,5502,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","inference",7,"2vs1",1,3308,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",8,"2vs2",2,2783,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",9,"2vs2",2,4994,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_double",10,"2vs1",2,3039,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_double",11,"3vs1",1,4865,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",12,"1vs1",2,10287,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",13,"1vs1",2,3401,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","inference",14,"3vs1",1,3646,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",15,"1vs1",2,2732,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_double",16,"2vs1",2,3498,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","inference",17,"3vs1",1,3211,"ipad"
"150109-02-sc",2,2.87,"F",6,"cdm","control_single",18,"1vs1",2,2922,"ipad"
"150109-03-sc",2,2.22,"M",6,"cdm","control_single",3,"2vs2",2,2233,"ipad"
