subid,keep_drop,expt,age_group,English
150716-sc-03.txt,keep,sc,5,6
150716-sc-04.txt,keep,sc,4,6
150716-sc-05.txt,keep,sc,2,6
150716-sc-06.txt,keep,sc,2,4
150716-sc-07.txt,keep,sc,2,6
150716-sc-08.txt,keep,sc,2,6
150717-sc-01.txt,keep,sc,2,6
150717-sc-02.txt,keep,sc,4,3
150717-sc-03.txt,keep,sc,4,6
150717-sc-04.txt,keep,sc,4,5
150717-sc-05.txt,keep,sc,4,5
150717-sc-06.txt,keep,sc,3,4
150717-sc-07.txt,keep,sc,5,6
150717-sc-08.txt,keep,sc,3,6
150724-sc-01.txt,keep,sc,5,6
150724-sc-02.txt,keep,sc,4,5
150724-sc-03.txt,keep,sc,2,6
150724-sc-04.txt,keep,sc,1,6
150724-sc-05.txt,keep,sc,3,4
150724-sc-06.txt,keep,sc,4,6
150724-sc-07.txt,keep,sc,3,6
150724-sc-08.txt,keep,sc,3,4
150724-sc-09.txt,keep,sc,2,5
150724-sc-11.txt,keep,sc,5,6
150731-sc-01.txt,keep,sc,3,6
150731-sc-02.txt,keep,sc,2,4
150731-sc-03.txt,keep,sc,2,5
150731-sc-04.txt,drop,sc,,NA
150731-sc-05.txt,keep,sc,3,6
150811-01.txt,keep,0,4,6
150811-02.txt,keep,0,4,6
150813-01.txt,keep,0,2,6
150813-02.txt,keep,0,3,6
150814-03.txt,keep,0,5,4
150814-04.txt,keep,0,3,4
150814-05.txt,keep,0,2,5
150814-06.txt,keep,0,4,5
150814-07.txt,keep,0,4,3
150814-08.txt,keep,0,4,5
150814-09.txt,keep,0,NA,NA
150814-10.txt,keep,0,2,3
150818-01.txt,keep,0,4,4
150818-02.txt,keep,0,3,4
150818-03.txt,keep,0,3,6
150818-04.txt,keep,0,5,6
150818-05.txt,keep,0,3,5
150818-06.txt,keep,0,4,
150818-07.txt,keep,0,2,4
150818-08.txt,keep,0,2,5
151002-01.txt,keep,sc,4,6
151002-02.txt,keep,sc,2,6
151002-03.txt,keep,sc,4,4
151002-04.txt,keep,sc,2,3
151002-05.txt,keep,sc,4,6
151009-01.txt,keep,sc,5,6
151009-02,drop,NA,NA,NA
151009-03.txt,keep,sc,3,3
151009-04.txt,keep,sc,2,3
151009-05.txt,keep,sc,4,6
151009-06.txt,keep,sc,5,4
151009-07.txt,keep,sc,2,4
151009-08.txt,keep,sc,3,6
151009-09.txt,keep,sc,4,5
151009-10.txt,keep,sc,3,6
151029-01.txt,keep,sc,3,5
151029-02.txt,keep,sc,3,3
151029-03.txt,keep,sc,3,6
151029-04.txt,keep,sc,4,5
151029-05.txt,keep,sc,3,3
151029-06.txt,keep,sc,2,6
151029-07.txt,keep,sc,4,4
151029-08.txt,keep,sc,4,3
151105-01.txt,keep,sc,4,5
151105-02.txt,keep,sc,4,5
151105-03.txt,keep,sc,4,6
151105-04.txt,keep,sc,4,3
151105-05.txt,keep,sc,2,3
151105-06.txt,keep,sc,3,6
151105-07.txt,keep,sc,4,3
141120-01-sc,keep,ipad,4,6
141204-01-sc,keep,ipad,3,6
141204-02-sc,keep,ipad,3,6
141204-03-sc,keep,ipad,3,6
141204-04-sc,keep,ipad,5,6
141204-05-sc,keep,ipad,3,6
141204-06-sc,keep,ipad,3,6
141209-01-sc,keep,ipad,3,6
141209-02-sc,keep,ipad,4,6
141209-03-sc,keep,ipad,3,6
141209-04-sc,keep,ipad,5,6
141209-05-sc,keep,ipad,4,6
141209-06-sc,keep,ipad,3,6
141209-07-sc,keep,ipad,NA,6
150116-01-sc,keep,ipad,5,6
150116-02-sc,keep,ipad,3,6
150116-03-sc,keep,ipad,4,6
150116-04-sc,keep,ipad,3,6
150116-05-sc,keep,ipad,6,6
150116-07-sc,keep,ipad,3,6
150116-08-sc,keep,ipad,5,6
150116-09-sc,keep,ipad,4,6
150116-10-sc,keep,ipad,4,6
150116-11-sc,keep,ipad,4,6
150116-12-sc,keep,ipad,4,6
150116-13-sc,keep,ipad,4,6
150116-14-sc,keep,ipad,3,6
150116-15-sc,keep,ipad,3,6
150116-16-sc,keep,ipad,3,6
150116-17-sc,keep,ipad,3,6
150116-18-sc,keep,ipad,2,6
150116-19-sc,keep,ipad,3,6
150116-20-sc,keep,ipad,4,6
150116-21-sc,keep,ipad,4,6
150115-01-sc,keep,ipad,4,6
150115-02-sc,keep,ipad,3,6
150115-03-sc,keep,ipad,5,6
150115-04-sc,keep,ipad,5,6
150115-05-sc,keep,ipad,5,6
150115-06-sc,keep,ipad,4,6
150115-07-sc,keep,ipad,5,6
150108-01-sc,keep,ipad,5,6
150420-02-sc,keep,ipad,3,6
150420-03-sc,keep,ipad,5,6
150420-04-sc,keep,ipad,5,6
150420-05-sc,keep,ipad,4,6
150420-06-sc,keep,ipad,4,6
150424-01-sc,keep,ipad,5,6
150424-02-sc,keep,ipad,5,6
150424-03-sc,keep,ipad,4,6
150513-01-sc,keep,ipad,2,6
150513-02-sc,keep,ipad,3,6
