subid,keep_drop,expt,age,age_group,sex,English
150709-sc-05.txt,keep,scale,3.88,3,M,6
150709-sc-06.txt,keep,scale,2.09,2,F,6
150709-sc-07.txt,keep,scale,5.31,5,M,5
150709-sc-08.txt,keep,scale,5.84,5,M,6
150709-sc-09.txt,keep,scale,3.35,3,F,4.5
150709-sc-10.txt,keep,scale,4.09,4,F,6
150709-sc-11.txt,keep,scale,4.09,4,F,6
150709-sc-12.txt,keep,scale,3.2,3,M,1.5
150709-sc-13.txt,keep,scale,3.09,3,F,5
150709-sc-14.txt,keep,scale,5.45,5,F,5
150709-sc-15.txt,keep,scale,2.96,2,F,6
150710-sc-01.txt,keep,scale,3.85,3,M,6
150710-sc-02.txt,keep,scale,5.01,5,F,4.5
150710-sc-03.txt,keep,scale,5.74,5,M,4
150710-sc-04.txt,keep,scale,2.83,2,M,5
150710-sc-05.txt,keep,scale,#VALUE!,NA,F,5
150710-sc-07.txt,keep,scale,3.64,3,F,3
150710-sc-08.txt,keep,scale,5,5,M,6
150716-sc-01.txt,keep,scale,2.22,2,M,6
150716-sc-02.txt,keep,scale,4.67,4,F,6
150716-sc-03.txt,keep,scale,5.25,5,M,6
150716-sc-04.txt,keep,scale,4.45,4,M,6
150716-sc-05.txt,keep,scale,2.21,2,F,6
150716-sc-06.txt,keep,scale,2.66,2,F,4
150716-sc-07.txt,keep,scale,2.81,2,F,6
150716-sc-08.txt,keep,scale,2.81,2,F,6
150717-sc-01.txt,keep,scale,2.73,2,M,6
150717-sc-02.txt,keep,scale,4.27,4,M,3
150717-sc-03.txt,keep,scale,4.14,4,M,6
150717-sc-04.txt,keep,scale,4,4,F,5
150717-sc-05.txt,keep,scale,4,4,M,5
150717-sc-06.txt,keep,scale,3.69,3,F,4
150717-sc-07.txt,keep,scale,5.54,5,F,6
150717-sc-08.txt,keep,scale,3.83,3,M,6
150724-sc-01.txt,keep,scale,5.1,5,M,6
150724-sc-02.txt,keep,scale,4.64,4,F,5
150724-sc-03.txt,keep,scale,2.42,2,M,6
150724-sc-04.txt,keep,scale,1.95,1,M,6
150724-sc-05.txt,keep,scale,3,3,F,4
150724-sc-06.txt,keep,scale,4.33,4,M,6
150724-sc-07.txt,keep,scale,3.57,3,M,6
150724-sc-08.txt,keep,scale,3.29,3,F,4
150724-sc-09.txt,keep,scale,2,2,M,5
150724-sc-11.txt,keep,scale,5.84,5,F,6
150731-sc-01.txt,keep,scale,3.88,3,M,6
150731-sc-02.txt,keep,scale,2.86,2,M,4
150731-sc-03.txt,keep,scale,NA,2,F,5
150731-sc-05.txt,keep,scale,3.13,3,M,6
151002-01.txt,keep,scale,4.12,4,F,6
151002-02.txt,keep,scale,2.25,2,M,6
151002-03.txt,keep,scale,4.35,4,M,4
151002-04.txt,keep,scale,2.84,2,M,3
151002-05.txt,keep,scale,4.12,4,M,6
151009-01.txt,keep,scale,5.59,5,M,6
151009-03.txt,keep,scale,3.35,3,M,3
151009-04.txt,keep,scale,2.51,2,M,3
151009-05.txt,keep,scale,4.61,4,F,6
151009-06.txt,keep,scale,5.13,5,M,4
151009-07.txt,keep,scale,2.84,2,F,4
151009-08.txt,keep,scale,3.02,3,F,6
151009-09.txt,keep,scale,4.49,4,F,5
151009-10.txt,keep,scale,NA,3,F,6
151029-01.txt,keep,scale,3.27,3,M,5
151029-02.txt,keep,scale,3.62,3,M,3
151029-03.txt,keep,scale,3.75,3,M,6
151029-04.txt,keep,scale,4.35,4,M,5
151029-05.txt,keep,scale,3.7,3,F,3
151029-06.txt,keep,scale,2.76,2,M,6
151029-07.txt,keep,scale,4.87,4,F,4
151029-08.txt,keep,scale,4.66,4,M,3
151105-01.txt,keep,scale,4.8,4,F,5
151105-02.txt,keep,scale,4.024657534,4,F,5
151105-03.txt,keep,scale,4.942465753,4,M,6
151105-04.txt,keep,scale,4.882191781,4,M,3
151105-05.txt,keep,scale,2.61369863,2,M,3
151105-06.txt,keep,scale,3.553424658,3,M,6
151105-07.txt,keep,scale,4,4,F,3
