subid,age_group,trial_type,item_num,correct,rt
150109-02-sc,NA,control_single,1vs1,1,3401
150109-02-sc,NA,inference,3vs1,0,3646
150109-02-sc,NA,control_single,1vs1,1,2732
150109-02-sc,NA,control_double,2vs1,1,3498
150109-02-sc,NA,inference,3vs1,0,3211
150109-02-sc,NA,control_single,1vs1,1,2922
150109-03-sc,NA,practice,NA,1,8562
150109-03-sc,NA,practice,NA,1,1860
150109-03-sc,NA,control_single,2vs2,1,2233
150109-03-sc,NA,inference,3vs1,0,2670
150109-03-sc,NA,control_double,3vs1,0,3478
150109-03-sc,NA,inference,3vs1,0,513
150109-03-sc,NA,control_single,1vs1,1,502
150109-03-sc,NA,control_single,2vs2,1,7177
150109-03-sc,NA,control_double,2vs1,1,3899
150109-03-sc,NA,control_double,3vs1,1,3167
150109-03-sc,NA,control_single,1vs1,0,1319
150109-03-sc,NA,control_single,2vs2,0,486
150109-03-sc,NA,control_single,1vs1,1,3859
150109-03-sc,NA,control_double,2vs1,0,5679
150109-03-sc,NA,inference,2vs1,0,2713
150109-03-sc,NA,control_single,2vs2,1,1937
150109-04,NA,practice,NA,1,9651
150109-04,NA,practice,NA,1,1604
150109-04,NA,control_single,2vs2,0,4264
150109-04,NA,inference,3vs1,0,2419
150109-04,NA,control_double,3vs1,1,3400
150109-04,NA,control_single,1vs1,1,3941
150109-04,NA,inference,3vs1,1,2200
150109-04,NA,control_single,1vs1,1,5230
150109-04,NA,control_single,2vs2,1,4307
150109-04,NA,control_double,2vs1,1,2282
150109-04,NA,control_double,3vs1,1,2571
150109-04,NA,control_single,1vs1,0,4045
150109-04,NA,control_single,2vs2,1,2668
150109-04,NA,inference,2vs1,0,2619
150109-04,NA,control_single,1vs1,1,2241
150109-04,NA,control_double,2vs1,1,4718
150109-04,NA,inference,2vs1,0,2206
150109-04,NA,control_single,2vs2,1,2947
150109-05,NA,practice,NA,1,12202
150109-05,NA,practice,NA,0,5007
150109-05,NA,control_single,2vs2,1,708
150109-05,NA,inference,2vs1,1,9514
150109-06,NA,practice,NA,1,4294
150109-06,NA,practice,NA,1,7134
150109-06,NA,inference,3vs1,0,12571
