"subid","list","trial_num","word","pic1","pic2","trial_type","pic1type","pic2type","side_clicked","pic_clicked","correct","datetesting","time","rt","item_num","V17","keep_drop","expt","age_group","English"
"141209-01-sc",1,15,"ernie_car","ernie_car","ernie_bicycle","control_single","target","distractor","L","ernie_car","Y","12/9/14","1:22",2079,"1vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,16,"grover_orange","grover_apple","grover_orange","control_double","distractor","target","R","grover_orange","Y","12/9/14","1:22",1904,"2vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,17,"ernie_teddybear","ernie_flower","ernie_teddybear","inference","distractor","target","R","ernie_teddybear","Y","12/9/14","1:22",1747,"2vs1",NA,"keep","ipad","3",6
"141209-01-sc",1,18,"grover_ball","grover_ball","grover_truck","control_single","target","distractor","L","grover_ball","Y","12/9/14","1:22",2121,"2vs2",NA,"keep","ipad","3",6
"141209-02-sc",2,1,"practice1_lion","practice1_cow","practice1_lion","practice","distractor","target","R","practice1_lion","Y","12/9/14","8:57",8727,NA,NA,"keep","ipad","4",6
"141209-02-sc",2,2,"practice2_rabbit","practice2_rabbit","practice2_monkey","practice","target","distractor","L","practice2_rabbit","Y","12/9/14","8:57",1400,NA,NA,"keep","ipad","4",6
"141209-02-sc",2,3,"grover_orange2","grover_apple2","grover_orange2","control_single","distractor","target","R","grover_orange2","Y","12/9/14","8:57",2085,"2vs2",NA,"keep","ipad","4",6
"141209-02-sc",2,4,"bert_dog2","bert_cat2","bert_dog2","inference","distractor","target","R","bert_dog2","Y","12/9/14","8:57",2613,"2vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,5,"bert_car2","bert_car2","bert_bicycle2","control_double","target","distractor","L","bert_car2","Y","12/9/14","8:57",1639,"3vs1",NA,"keep","ipad","4",6
"141209-02-sc",2,6,"bert_teddybear2","bert_flower2","bert_teddybear2","control_single","distractor","target","R","bert_teddybear2","Y","12/9/14","8:57",1830,"2vs2",NA,"keep","ipad","4",6
"141209-02-sc",2,7,"grover_ball2","grover_ball2","grover_truck2","inference","target","distractor","L","grover_ball2","Y","12/9/14","8:57",2694,"2vs1",NA,"keep","ipad","4",6
